Name,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
"Agriculture, forestry, fishing, and hunting",449406,...,...,603,11,...,...,...,...,...,0,...,2407,...,...,...,...,452427
Mining,...,531445,...,20545,23170,1966,...,...,...,...,2809,...,...,...,...,...,...,579935
Utilities,...,96,494983,2572,...,...,18,2787,...,...,646,...,...,...,2124,...,...,503226
Construction,...,...,...,1688950,...,...,...,...,...,...,1036,...,...,...,...,...,...,1689986
Manufacturing,...,942,...,8733,5960427,68359,...,...,...,24,216893,...,...,120,...,3735,...,6259231
Wholesale trade,710,...,...,4421,6448,1973979,...,2180,...,15384,20962,...,...,67597,...,...,...,2091682
Retail trade,190,...,...,7562,15239,...,1733937,4708,1215,11746,11952,2384,54273,111280,...,...,...,1954487
Transportation and warehousing,990,...,171,525,...,150,22,1342198,...,985,6348,63,338,1280,...,...,...,1353070
Information,...,...,...,2037,1401,19014,2830,...,1509204,11525,382636,9790,72,2692,...,...,...,1941199
"Finance, insurance, real estate, rental, and leasing",...,...,...,19555,...,407,1389,1022,...,7252852,15552,3,19,2350,...,...,...,7293149
Professional and business services,...,108,...,2048,3455,3910,7802,18,21793,2099,4227522,2366,...,4899,...,798,...,4276816
"Educational services, health care, and social assistance",...,...,...,2635,...,...,14428,...,...,5568,47458,2894331,44483,17,...,...,...,3008921
"Arts, entertainment, recreation, accommodation, and food services",...,...,...,3748,...,...,9768,...,278,5770,9773,2222,1533126,3706,...,192,...,1568582
"Other services, except government",...,...,...,481,...,592,6476,...,404,1835,2406,411,4085,740975,...,...,...,757665
Government,4081,672,161051,22782,7646,...,8845,32709,3196,70712,136303,375406,75209,4554,3174849,4289,4304,4086609
Total Commodity Output,455378,533262,656205,1787197,6017797,2068377,1785514,1385623,1536090,7378498,5082295,3286975,1714013,939469,3176973,9013,4304,37816985
