Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
Farms,390710,4745,...,...,...,...,...,11,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2407,...,...,...,...,...,...,...,...,...,...,397874
"Forestry, fishing, and related activities",20,53931,...,...,...,...,603,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,54554
Oil and gas extraction,...,...,303305,87,49151,...,891,...,...,...,20,189,...,...,...,...,...,...,...,...,...,...,...,18781,239,...,671,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,156,1703,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,375192
"Mining, except oil and gas",...,...,0,90014,6296,...,11682,...,451,...,...,...,...,...,...,...,...,...,...,...,...,...,...,117,2731,...,597,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,154,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,112041
Support activities for mining,...,...,66,64,82462,...,7972,...,...,...,641,...,...,...,...,...,...,...,...,...,...,...,...,2,...,...,698,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,58,738,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,92701
Utilities,...,...,96,...,...,494983,2572,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18,...,...,...,...,...,2787,...,...,...,...,...,...,...,...,...,...,...,...,...,...,444,202,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2124,...,...,503226
Construction,...,...,...,...,...,...,1688950,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,500,536,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1689986
Wood products,...,...,...,...,...,...,701,113905,297,...,348,...,...,...,...,...,497,2,...,1,...,165,...,...,21,230,1207,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18,120,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,57,...,117569
Nonmetallic mineral products,...,...,5,704,1,...,954,1,131485,...,230,3,0,304,0,8,125,1,...,425,...,222,...,39,106,174,1530,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,43,921,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9,...,137287
Primary metals,...,...,...,...,...,...,243,...,5,233826,1260,203,0,827,...,...,0,...,...,24,...,3,...,2408,212,0,1244,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,111,617,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,766,...,241751
