Name,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government,Total Intermediate,Personal consumption expenditures,Private fixed investment,Change in private inventories,Exports of goods and services,Government consumption expenditures and gross investment,Total use of products
"Agriculture, forestry, fishing, and hunting",114769,191,...,3432,322670,1774,5259,199,...,17,5402,255,10129,330,8980,473406,162367,...,-9358,63799,...,690214
Mining,2544,58999,40944,27940,371488,26,5,234,933,62,2038,439,1573,689,39181,547097,471,123822,4352,111101,...,786844
Utilities,4401,9069,22602,4753,55663,15113,33156,12237,5448,108576,16373,18894,28745,3963,26836,365828,288088,...,...,4375,...,658291
Construction,1681,3501,6840,217,14197,1983,4465,5923,2456,160480,1799,1651,2899,3498,95792,307383,...,1123073,...,101,356640,1787197
Manufacturing,110824,87229,24462,592230,2458644,92558,93575,144775,120386,114226,210934,265246,147831,78423,523874,5065215,3935715,1327715,50615,1143306,152143,11674710
Wholesale trade,1486,184,1111,62,25085,44649,19245,217,2155,7402,228,360,133,22,43,102382,...,...,...,2475,...,104857
Retail trade,...,...,...,...,...,...,2210,...,...,...,...,...,...,3,...,2213,7105,...,...,...,...,9318
Transportation and warehousing,661,2968,10538,1153,54383,81713,76317,149148,21570,43612,64799,22669,10327,5323,49523,594706,272102,...,...,64818,...,931627
Information,582,2180,2809,8584,22650,25313,29575,13858,237039,73613,121163,42412,22982,18944,104515,726220,602362,256618,1079,84436,13421,1684136
"Finance, insurance, real estate, rental, and leasing",33682,42756,13517,56687,108329,189839,234543,138470,89086,1420134,301006,335075,160697,86867,193748,3404437,3627344,162237,...,235679,...,7429698
Professional and business services,3767,59519,29368,87133,373668,312972,243546,102899,264047,629777,703354,311162,203010,59658,286681,3670562,293357,828837,...,215534,214258,5222547
"Educational services, health care, and social assistance",18,...,230,10,146,2808,8556,341,363,39,1738,43675,2469,4822,35765,100979,3187722,...,...,5442,...,3294144
"Arts, entertainment, recreation, accommodation, and food services",574,725,2312,1087,12127,10619,9930,21627,47953,88963,84293,59965,41678,8661,26811,417322,1287587,6011,...,4422,...,1715342
"Other services, except government",677,905,468,8279,21587,29300,19229,19618,8670,39124,34890,27939,18010,10208,33378,272282,672007,...,...,79,...,944368
Government,17,6,2857,5,4698,14559,7147,12233,2863,18019,9499,8833,6529,2454,9717,99437,81863,...,...,912,2995056,3177268
"Scrap, used and secondhand goods",150,198,8957,3465,48092,...,463,13068,335,-35,187,3941,956,12000,-44,91734,192578,-136548,2411,40487,16357,207019
Noncomparable imports and rest-of-the-world adjustment,1221,2034,945,2265,19955,6164,5029,21568,10370,47356,8382,986,3410,539,12334,142555,-66068,10357,...,201465,...,288310
Total Intermediate,277054,270466,167962,797302,3913382,829392,792247,656413,813674,2751366,1566085,1143502,661377,296403,1447135,16383760,14544601,3702122,49100,2178432,3747874,40605889
Compensation of employees,57671,86582,88212,592431,1131337,558603,650475,408642,399645,1019438,1969015,1515143,544608,336541,2086153,11444495,...,...,...,...,...,...
Other taxes on production,11563,28933,34377,8934,60414,13676,23472,18207,17012,335070,28060,34880,17853,10940,...,643391,...,...,...,...,...,...
Gross operating surplus,127280,177782,182514,289232,1125415,426878,261836,244970,666738,3163016,675846,305826,243716,99485,580658,8571191,...,...,...,...,...,...
Value Added (basic prices),196514,293297,305103,890596,2317167,999157,935783,671820,1083395,4517524,2672921,1855849,806176,446967,2666810,20659077,...,...,...,...,...,...
Total industry output (basic prices),473568,563763,473065,1687898,6230548,1828548,1728031,1328233,1897069,7268890,4239006,2999351,1467553,743369,4113945,37042837,...,...,...,...,...,...
Taxes on products and imports,645,16172,30161,2088,29023,263133,226456,27716,44137,45256,37810,9583,101029,14296,533,848037,...,...,...,...,...,...
Less: Subsidies,-21786,...,...,...,-341,...,...,-2879,-6,-20996,...,-12,...,...,-27869,-73889,...,...,...,...,...,...
Value Added (producer prices),175373,309469,335264,892684,2345849,1262290,1162239,696656,1127526,4541783,2710731,1865419,907205,461262,2639474,21433225,...,...,...,...,...,...
