,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
111CA,83777,544,...,68,28,...,3432,...,...,...,...,...,...,...,...,...,...,427,272584,1551,...,...,...,...,9960,...,1774,1246,1838,393,781,...,...,...,...,...,...,191,...,...,...,...,...,6,...,...,...,2,9,...,2,1,1308,48,3704,...,154,...,...,...,...,...,863,45,3281,75,6,-353,...,4737,...,392483,153203,...,...,...,...,-9846,56997,...,...,...,...,...,...,...,...,...,...,...,...,592837
113FF,21967,8481,...,94,...,...,...,17791,2,...,...,...,...,...,...,...,53,228,9079,...,90,7689,60,26,725,2404,...,...,998,...,2,...,...,...,...,...,...,7,...,...,...,...,...,...,...,...,...,...,...,...,...,...,320,15,4,...,101,...,...,...,...,...,351,528,5061,255,...,66,27,4498,...,80923,9164,...,...,...,...,488,6803,...,...,...,...,...,...,...,...,...,...,...,...,97377
211,...,...,39311,1,0,29445,...,0,0,19,0,0,...,...,0,...,...,...,0,...,...,0,0,324998,4969,0,2,0,0,0,1,...,...,...,...,...,12,...,0,0,0,0,...,...,...,...,...,...,...,...,...,0,0,3,0,0,0,0,0,0,0,0,1,1,3,0,...,...,1200,...,24620,424589,...,...,...,...,...,2822,90383,...,...,...,...,...,...,...,...,...,...,...,...,517795
212,2543,1,133,6917,65,11499,27940,7,12792,14957,527,154,3,128,85,166,30,163,1348,57,...,1288,...,4106,5584,106,25,...,...,...,3,...,203,0,9,5,...,3,1,23,23,241,646,...,...,...,...,62,...,...,...,...,1333,82,516,50,320,...,44,32,43,335,597,71,565,689,...,1049,...,3085,9228,109882,471,76,...,...,...,1504,18522,...,...,...,...,...,...,...,...,...,...,...,...,130455
213,...,...,9868,1773,930,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,51,3,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12626,...,3131,...,...,120616,25,2196,...,...,...,...,...,...,...,...,...,...,...,...,138594
22,4317,84,6268,2710,91,22602,4753,1097,2491,4639,3442,1741,640,608,2671,839,502,686,7549,744,73,3793,1154,6456,12865,3672,15113,4234,7654,4840,16427,55,92,96,1397,276,332,574,9414,484,375,3136,1452,2773,912,548,1343,23,101414,1563,379,199,3509,9066,2825,396,6358,2226,7525,1873,913,715,2291,5357,20382,3963,1531,502,830,22096,1877,365828,288088,...,...,...,...,...,4375,...,...,...,...,...,...,...,...,...,...,...,...,658291
23,1655,27,1106,1588,806,6840,217,129,297,437,521,354,81,97,482,146,77,119,1041,60,12,576,197,7697,1470,406,1983,727,472,498,2767,265,2033,32,243,821,377,1548,604,41,28,2220,167,2564,1091,253,220,74925,81210,218,73,17,637,554,487,30,419,240,615,194,184,211,386,686,1616,3498,8260,1471,783,29830,55448,307383,...,...,...,614336,508738,...,101,...,...,...,7441,...,...,...,14767,...,...,...,334432,1787197
321,401,33,...,186,132,...,62703,25671,496,446,316,1153,429,339,4260,435,8988,1288,596,61,3,6685,6,...,317,1750,4135,187,736,124,1493,...,3041,...,117,...,3,87,265,62,123,1297,1951,153,9,12,...,141,8422,415,16,18,856,4,1100,17,36,344,474,7,1418,8,213,791,1394,737,15,21,1,5824,211,152974,12953,...,...,11521,416,87,5969,...,...,...,...,...,0,...,...,...,...,...,...,183920
327,6,59,1899,501,709,94,104247,1086,20158,2770,1801,3081,244,2161,10870,630,515,1049,7143,225,...,579,3,2796,2957,2227,442,474,145,216,1640,...,24,...,78,...,1,51,272,6,4,4128,1368,134,71,4,...,194,221,527,9,105,5448,105,1745,236,106,3398,3112,281,405,20,194,165,3451,1666,127,503,...,3306,2885,205076,25860,...,...,...,...,582,11061,...,...,...,...,...,...,...,...,...,...,...,...,242579
331,133,...,7768,713,457,3,6357,538,908,73301,80657,36982,3538,16164,60248,12610,4823,6318,5808,381,...,671,36,68,64,1625,1393,8,...,0,960,...,1026,...,...,...,...,310,...,17,16,295,614,...,...,2,...,3,4054,100,...,7,1486,51,535,373,154,70,90,18,287,22,286,19,150,433,96,194,...,406,470,334116,1380,...,...,...,...,-285,31157,...,...,...,...,...,...,...,...,...,...,...,...,366369
